OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,LOGRECNO,geoname,Workers_16_and_older,Drove_alone,Carpool,Public_Transportation,Walked,Other_Means,Non_SOV_Commuters,Pct_Non_SOV_Commuters,GlobalID,Shape__Area,Shape__Length
4111,37,119,004800,2,371190048002,Block Group 2,0016390,"Block Group 2, Census Tract 48, Mecklenburg County, North Carolina",308,258,0,22,0,0,127,0.41233766,95eaadd6-2403-4245-a37f-66e9a6924f6a,7022314.38745117,11212.1937452245
4112,37,119,001510,2,371190015102,Block Group 2,0016175,"Block Group 2, Census Tract 15.10, Mecklenburg County, North Carolina",242,284,25,0,0,0,92,0.38016529,72e4d033-4f8e-4ce0-a911-750fcabca569,5807319.62011719,9669.93688752834
4113,37,119,005836,1,371190058361,Block Group 1,0016554,"Block Group 1, Census Tract 58.36, Mecklenburg County, North Carolina",1147,991,73,19,15,18,210,0.18308631,98c1d9df-6cb0-4435-be37-85d3dd2f139e,16509927.9834595,19297.5175030244
4114,37,119,001801,1,371190018011,Block Group 1,0016192,"Block Group 1, Census Tract 18.01, Mecklenburg County, North Carolina",272,249,7,14,0,5,36,0.13235294,38e6b48b-a4d0-4ac3-a95a-95801082c454,7916016.4364624,13458.1959397302
4115,37,119,006212,1,371190062121,Block Group 1,0016655,"Block Group 1, Census Tract 62.12, Mecklenburg County, North Carolina",1007,848,70,12,0,12,311,0.30883813,7d409b97-fd4a-44c4-aa6b-ab8b8c1d590d,29869665.5448608,25289.2515384481
4116,37,119,005913,1,371190059131,Block Group 1,0016599,"Block Group 1, Census Tract 59.13, Mecklenburg County, North Carolina",1126,874,198,0,0,0,530,0.47069272,476fb6a7-3381-4f5a-aa15-a8de63bb60f4,28328951.4509277,24508.7097033484
4117,37,119,003600,3,371190036003,Block Group 3,0016339,"Block Group 3, Census Tract 36, Mecklenburg County, North Carolina",365,238,49,26,10,52,224,0.61369863,a6137c9d-ff0a-463e-992e-fb7ed186822e,6618132.88708496,13364.8399081539
4118,37,119,006106,1,371190061061,Block Group 1,0016633,"Block Group 1, Census Tract 61.06, Mecklenburg County, North Carolina",1565,1366,129,0,0,0,396,0.25303514,c91a4f18-54ec-4d45-9926-3f4d6232e193,18487593.6675415,19233.8824249296
4119,37,119,004302,1,371190043021,Block Group 1,0016373,"Block Group 1, Census Tract 43.02, Mecklenburg County, North Carolina",316,252,13,80,0,0,73,0.23101266,99d2ae46-f0dc-4784-8aba-8c2a4998bdf1,6709968.59954834,11823.5914722417
4120,37,119,002003,5,371190020035,Block Group 5,0016239,"Block Group 5, Census Tract 20.03, Mecklenburg County, North Carolina",648,366,211,0,0,0,326,0.50308642,7bcaf98b-7635-4995-97d9-7b49b0489507,12244278.1119385,17523.7511435527
4121,37,119,005908,1,371190059081,Block Group 1,0016591,"Block Group 1, Census Tract 59.08, Mecklenburg County, North Carolina",707,624,57,6,6,18,149,0.21074965,e50efece-71d3-4ff2-8667-344aafa57fc2,195772984.475891,71286.1191532356
4122,37,119,005847,1,371190058471,Block Group 1,0016579,"Block Group 1, Census Tract 58.47, Mecklenburg County, North Carolina",633,601,79,0,12,0,197,0.31121643,b029dd32-df2a-4a63-8cb0-99f12a56c653,31829754.1807251,24818.7373804089
4123,37,119,005618,1,371190056181,Block Group 1,0016482,"Block Group 1, Census Tract 56.18, Mecklenburg County, North Carolina",767,717,39,0,0,0,130,0.16949153,eee58b11-5d24-4abe-8fdb-70487aa579b1,59761966.8395386,30890.0816061356
4124,37,119,005828,1,371190058281,Block Group 1,0016537,"Block Group 1, Census Tract 58.28, Mecklenburg County, North Carolina",1017,919,97,47,48,0,109,0.10717797,d67b5f51-a476-49e8-b712-711fb837f4a9,21129246.7367554,29150.9692147898
4125,37,119,000100,4,371190001004,Block Group 4,0016134,"Block Group 4, Census Tract 1, Mecklenburg County, North Carolina",71,46,0,0,20,0,21,0.29577465,fd372c12-0e5e-4fcb-8ff0-0b178158992a,4499537.53509521,10270.217091271
4126,37,119,005521,3,371190055213,Block Group 3,0016449,"Block Group 3, Census Tract 55.21, Mecklenburg County, North Carolina",2479,1872,192,42,0,0,299,0.12061315,9ebae77e-2fb9-466a-83e2-27fc8283787a,66306549.9271851,32627.4215131443
4127,37,119,005817,1,371190058171,Block Group 1,0016525,"Block Group 1, Census Tract 58.17, Mecklenburg County, North Carolina",690,556,0,60,0,0,51,0.07391304,ee8e4d70-c1e1-4808-8ef0-2d3f51918795,18475718.0162964,20376.6015167894
4128,37,119,005712,1,371190057121,Block Group 1,0016503,"Block Group 1, Census Tract 57.12, Mecklenburg County, North Carolina",1511,1412,97,0,0,46,369,0.24420913,3d5d104e-f21d-4afa-8305-f1854ebdb75b,39625054.9264526,30062.0197364019
4129,37,119,004100,2,371190041002,Block Group 2,0016366,"Block Group 2, Census Tract 41, Mecklenburg County, North Carolina",1320,1301,30,9,0,8,170,0.12878788,42e2da5d-0eaf-435b-b81b-921a6817fd40,12276062.7789307,15281.0549219814
4130,37,119,005907,2,371190059072,Block Group 2,0016590,"Block Group 2, Census Tract 59.07, Mecklenburg County, North Carolina",921,838,18,9,0,8,87,0.09446254,09e6ebbe-bcfe-4d91-8e5c-643a2a7728a1,25557152.1187134,24102.7010141624
4131,37,119,004305,2,371190043052,Block Group 2,0016380,"Block Group 2, Census Tract 43.05, Mecklenburg County, North Carolina",1570,1183,123,94,0,174,368,0.2343949,d5efccc7-2e33-4eef-a2ed-fdba03cc77a3,16740273.6600342,17393.7735109442
4132,37,119,002701,3,371190027013,Block Group 3,0016259,"Block Group 3, Census Tract 27.01, Mecklenburg County, North Carolina",352,357,35,0,68,0,78,0.22159091,692d50f7-74ce-40a4-b01f-baf46be024f2,4902602.49291992,9624.98310790842
4133,37,119,001509,1,371190015091,Block Group 1,0016172,"Block Group 1, Census Tract 15.09, Mecklenburg County, North Carolina",598,676,45,0,0,0,16,0.02675585,bee2c525-af71-404c-9065-5cdf63659f8a,7370779.67889404,12212.2023505428
4134,37,119,003204,1,371190032041,Block Group 1,0016325,"Block Group 1, Census Tract 32.04, Mecklenburg County, North Carolina",783,647,58,16,0,0,133,0.16985951,efb96704-4210-49c1-ad04-29b03b9a13bf,6504689.12322998,12432.5194087463
4135,37,119,005605,2,371190056052,Block Group 2,0016466,"Block Group 2, Census Tract 56.05, Mecklenburg County, North Carolina",912,913,0,25,18,0,19,0.02083333,3c8fd273-cc12-4f57-a4bd-39af80fa73e7,8798652.15917969,13521.4881052682
4136,37,119,006009,1,371190060091,Block Group 1,0016620,"Block Group 1, Census Tract 60.09, Mecklenburg County, North Carolina",722,765,46,0,0,0,54,0.07479224,0d5d2c43-c1cf-4073-85c3-5b7454186935,37231396.8179932,28083.0796167222
4137,37,119,002003,3,371190020033,Block Group 3,0016237,"Block Group 3, Census Tract 20.03, Mecklenburg County, North Carolina",328,576,39,0,0,0,60,0.18292683,580cac88-a22e-41c0-8ad3-e16d86c4583c,10889117.6851807,16711.3327067296
4138,37,119,004200,4,371190042004,Block Group 4,0016372,"Block Group 4, Census Tract 42, Mecklenburg County, North Carolina",535,394,35,213,0,0,334,0.62429907,fe442a81-28cf-4d98-8975-7753d50ba720,11351858.7688599,15012.6593324933
4139,37,119,005614,3,371190056143,Block Group 3,0016477,"Block Group 3, Census Tract 56.14, Mecklenburg County, North Carolina",1307,1169,135,21,0,0,262,0.20045907,b0936ba7-db46-4942-9860-6ef916a1131c,18919296.8409424,24604.1932135026
4140,37,119,005200,3,371190052003,Block Group 3,0016399,"Block Group 3, Census Tract 52, Mecklenburg County, North Carolina",248,208,27,66,17,11,96,0.38709677,15c83ea4-a731-41e6-8474-376468f105a7,24905377.7427979,23274.658080659
4141,37,119,005621,1,371190056211,Block Group 1,0016489,"Block Group 1, Census Tract 56.21, Mecklenburg County, North Carolina",1159,1177,59,42,0,0,217,0.18723037,71709eb7-d567-4fcb-9a0c-876ecb65b579,49495378.9488525,31190.061155584
4142,37,119,005604,2,371190056042,Block Group 2,0016463,"Block Group 2, Census Tract 56.04, Mecklenburg County, North Carolina",612,366,95,13,247,8,379,0.61928105,6fa807c9-8c38-4a11-8dda-e68b5eb18214,9425896.21490479,12416.3447788959
4143,37,119,005827,1,371190058271,Block Group 1,0016536,"Block Group 1, Census Tract 58.27, Mecklenburg County, North Carolina",1606,1305,211,17,15,55,437,0.27210461,37049bd4-7c7a-4f93-8a9e-9a6372620329,19411029.286499,20432.0238077982
